lncRNA,target
ABHD15-AS1,ANKUB1
ABHD15-AS1,AGPAT3
ABHD15-AS1,ANKRD46
ABHD15-AS1,ADCY9
ABHD15-AS1,ANO10
ABHD15-AS1,AHDC1
ABHD15-AS1,ANKRD30BL
ABHD15-AS1,ANKRD24
ABHD15-AS1,AP1S1
ABHD15-AS1,AFAP1
ABHD15-AS1,ADARB2
ABHD15-AS1,AP2S1
ABHD15-AS1,ANKRD13C
ABHD15-AS1,ANXA7
ABHD15-AS1,AFDN
ABHD15-AS1,AGO4
ABHD15-AS1,AP3S1
ABHD15-AS1,AHI1
ABHD15-AS1,ANXA6
ABHD15-AS1,ANO4
ABHD15-AS1,ANP32A
ABHD15-AS1,AFG2A
ABHD15-AS1,AP2A1
ABHD15-AS1,APLP1
ABHD15-AS1,APOE
ABHD15-AS1,ANKRD26
ABHD15-AS1,ANAPC5
ABHD15-AS1,APBB1
ABHD15-AS1,AMD1
ABHD15-AS1,ADGRL2
ABHD15-AS1,AGPAT4
ABHD15-AS1,APMAP
ABHD15-AS1,AP1B1
ABHD15-AS1,ANKS1B
ABHD15-AS1,APBA2
ABHD15-AS1,ARF1
ABHD15-AS1,ARF5
ABHD15-AS1,ANKIB1
ABHD15-AS1,ANTXR1
ABHD15-AS1,AP4S1
ABHD15-AS1,AP3D1
ABHD15-AS1,ANKRD6
ABHD15-AS1,ANKH
ABHD15-AS1,ANKRD36B
ABHD15-AS1,APPL2
ABHD15-AS1,AOPEP
ABHD15-AS1,AGFG1
ABHD15-AS1,APP
ABHD15-AS1,ARFIP1
ABHD15-AS1,ARHGDIG
ABHD15-AS1,ARHGDIA
ABHD15-AS1,ARHGAP22
ABHD15-AS1,ARFGAP1
ABHD15-AS1,ARHGAP1
ABHD15-AS1,AP2A2
ABHD15-AS1,ANO6
ABHD15-AS1,ANKS1A
ABHD15-AS1,AKAP12
ABHD15-AS1,AHCTF1
ABHD15-AS1,ARGLU1
ABHD15-AS1,APBA1
ABHD15-AS1,AP2B1
ABHD15-AS1,ARHGAP17
ABHD15-AS1,ARB2A
ABHD15-AS1,AREL1
ABHD15-AS1,AP3B2
ABHD15-AS1,ARL8A
ABHD15-AS1,ARHGEF3
ABHD15-AS1,ARHGAP20
ABHD15-AS1,ANKRD36C
ABHD15-AS1,ARHGAP12
ABHD15-AS1,ARHGEF10
ABHD15-AS1,ANKRD36
ABHD15-AS1,ARPC1A
ABHD15-AS1,ARL6
ABHD15-AS1,ARL8B
ABHD15-AS1,ARMC1
ABHD15-AS1,ARPC5L
ABHD15-AS1,ARHGEF2
ABHD15-AS1,APPL1
ABHD15-AS1,ARPC2
ABHD15-AS1,ARL3
ABHD15-AS1,ASCC1
ABHD15-AS1,ARL4C
ABHD15-AS1,ASPHD1
