ligand,receptor
CDC37,ERBB2
CDCP1,EGFR
CDH1,CDH1
CDH1,CDH2
CDH1,EGFR
CDH1,ERBB3
CDH1,IGF1R
CDH1,ITGA1
CDH1,ITGA2
CDH1,ITGAE
CDH1,ITGB1
CDH1,ITGB7
CDH1,KLRG1
CDH1,LRP5
CDH1,PTPRF
CDH1,PTPRM
CDH13,NCAM2
CDH15,CDH15
CDH2,CDH2
CDH4,CDH4
CDH5,CDH5
CDH6,CNTN1
CDH6,PTGFRN
CDH9,BTN3A1
CDHR2,KIRREL1
CDHR2,UNC5A
CEACAM1,CD209
CEACAM1,CEACAM1
CEACAM1,CEACAM5
CEACAM1,EGFR
CEACAM1,HAVCR2
CEACAM1,SELE
CEACAM16,TECTA
CEACAM16,TECTB
CEACAM20,VSIG8
CEACAM21,LILRA6
CEACAM3,CEACAM7
CEACAM3,PTPRD
CEACAM4,PDCD1LG2
CEACAM5,CD1D
CEACAM5,CD8A
CEACAM5,CEACAM3
CEACAM5,CEACAM7
CEACAM5,CEACAM8
CEACAM5,LRP8
CEACAM6,CEACAM1
CEACAM6,CEACAM5
CEACAM6,CEACAM6
CEACAM6,CEACAM8
CEACAM6,EGFR
CEACAM6,STAB1
CEACAM7,CEACAM6
CEACAM8,BTN2A2
CEACAM8,CEACAM1
CEACAM8,PTPRO
CEACAM8,TECTB
CEAM1,CD209
CEAM1,CEAM6
CEAM1,CEAM8
CEAM1,LYAM2
CEAM5,CD1D
CEAM5,CD8A
CEAM5,CEAM1
CEAM5,CEAM6
CEAM6,CEAM6
CEAM8,CEAM6
CEL,CXCR4
CELA3B,CHRM3
CER1,MRC2
CFC1,ACVR1B
CFC1,ACVR2A
CFC1,SMAD3
CFH,ITGAM
CFH,SELL
CFP,NCR1
CGA,ADCYAP1R1
CGA,ADRB2
CGA,ADRB3
CGA,FSHR
CGA,GPR20
CGA,GPR84
CGA,LHCGR
CGA,PTH1R
CGA,RAMP2
CGA,RAMP3
CGA,SIRPA
CGA,TSHR
CGA,VIPR1
CGB3,LHCGR
CGB5,LHCGR
CGB8,LHCGR
CGB8,SIRPA
CGN,F11R
CGN,OCLN
CGN,TGFBR1
CGN,TGFBR2
CHAD,ITGA2
CHAD,ITGB1
CHAT,CHRM1
CHAT,CHRM2
CHAT,CHRM3
CHAT,CHRM4
CHAT,CHRM5
CHL1,SIRPA
CHL1,TMEM132A
CHRD,BMP2
CIRBP,TREM1
CISH,EPOR
CKLF,CCR4
CKLF,LRP6
CLC2A,KLRF2
CLC2B,KLRF1
CLCF1,CNTFR
CLCF1,CRLF1
CLCF1,IL6ST
CLCF1,LIFR
CLCF1,SORL1
CLCF1_CRLF1,CNTFR
CLCF1_CRLF1,IL6ST
CLDN1,CLDN2
CLDN11,CLDN11
CLDN14,CLDN16
CLDN16,CLDN19
CLDN19,CLDN6
CLDN19,CLDN7
CLDN19,CLDN8
CLDN19,CLDN9
CLDN2,CLDN3
CLDN3,CLDN1
CLDN4,EFNB1
CLEC11A,ITGA10
CLEC11A,ITGA11
CLEC11A,ITGB1
CLEC11A,KIT
CLEC1B,KLRB1
CLEC2A,KLRB1
CLEC2A,KLRF2
CLEC2B,KLRB1
CLEC2B,KLRF1
CLEC2C,KLRB1
CLEC2D,KLRB1
CLEC2L,KLRB1
CLEC3A,CLEC10A
CLEC3A,CLEC2B
CLEC4G,LAG3
CLMP,JAML
CLU,TREM2
CLUL1,GPR55
CNGA2,CNGA2
CNGA2,CNGB1
CNGA4,CNGA4
CNGA4,CNGB1
CNGB1,CNGA1
CNGB1,CNGA2
CNGB1,CNGB1
CNMD,PTPRD
CNTF,CNTFR
CNTF,CRLF1
CNTF,EGFR
CNTF,IL6R
CNTF,IL6ST
CNTF,LIFR
CNTFR,LILRB4
CNTN1,CHL1
CNTN1,FCGRT
CNTN1,IL23R
CNTN1,MUC18
CNTN1,NFASC
CNTN1,NOTC1
CNTN1,NOTC2
CNTN1,NOTCH1
CNTN1,NOTCH2
CNTN1,NRCAM
CNTN1,PCDHB7
CNTN1,PTPRZ1
CNTN1,SGCG
CNTN2,CNTN1
CNTN2,CNTN2
CNTN2,CNTNAP2
CNTN2,KREMEN1
CNTN2,L1CAM
CNTN2,NRCAM
CNTN2,NRP1
CNTN3,PTPRG
CNTN4,APLP1
CNTN4,APP
CNTN4,LVRN
CNTN4,PTPRG
CNTN5,CHL1
CNTN5,FAM187A
CNTN5,PTPRG
CNTN5,SLAMF1
CNTN5,SPACA6
CNTN5,TMEM81
CNTN6,NOTCH1
CNTN6,PTPRG
CO3,C3AR
CO3,C5AR2
CO3A1,AGRG1
CO4A,C5AR2
CO4A1,AGRG6
CO4A2,AGRG6
CO4A3,AGRG6
CO4A4,AGRG6
CO4A5,AGRG6
CO4A6,AGRG6
CO5,C5AR1
CO5,C5AR2
COL10A1,ITGA1
COL10A1,ITGA10
COL10A1,ITGA11
COL10A1,ITGA2
COL10A1,ITGB1
COL10A1,LAIR1
COL11A1,DDR1
COL11A1,ITGA1
COL11A1,ITGA10
COL11A1,ITGA11
COL11A1,ITGA2
COL11A1,ITGB1
COL11A2,ITGA1
COL11A2,ITGA10
COL11A2,ITGA11
COL11A2,ITGA2
COL11A2,ITGB1
COL12A1,ITGA1
COL12A1,ITGA10
COL12A1,ITGA11
COL12A1,ITGA2
COL12A1,ITGB1
COL13A1,ITGA1
COL13A1,ITGA10
COL13A1,ITGA11
COL13A1,ITGA2
COL13A1,ITGB1
COL14A1,CD44
COL14A1,ITGA1
COL14A1,ITGA10
COL14A1,ITGA11
COL14A1,ITGA2
COL14A1,ITGB1
COL15A1,ITGA1
COL15A1,ITGA10
COL15A1,ITGA11
COL15A1,ITGA2
COL15A1,ITGB1
COL16A1,ITGA1
COL16A1,ITGA10
COL16A1,ITGA11
COL16A1,ITGA2
COL16A1,ITGB1
COL17A1,ITGA1
COL17A1,ITGA10
COL17A1,ITGA11
COL17A1,ITGA2
COL17A1,ITGB1
COL18A1,GPC1
COL18A1,GPC4
COL18A1,ITGA1
COL18A1,ITGA10
COL18A1,ITGA11
COL18A1,ITGA2
COL18A1,ITGA3
COL18A1,ITGA5
COL18A1,ITGB1
COL18A1,ITGB3
COL18A1,ITGB5
COL18A1,KDR
COL18A1,PTPRS
COL19A1,ITGA1
COL19A1,ITGA10
COL19A1,ITGA11
COL19A1,ITGA2
COL19A1,ITGB1
COL1A1,CD36
COL1A1,CD44
COL1A1,CD93
COL1A1,DDR1
COL1A1,DDR2
COL1A1,FLT4
COL1A1,GP6
COL1A1,ITGA1
COL1A1,ITGA10
COL1A1,ITGA11
COL1A1,ITGA2
COL1A1,ITGA3
COL1A1,ITGA5
COL1A1,ITGA9
COL1A1,ITGAV
COL1A1,ITGB1
COL1A1,ITGB8
COL1A1,LAIR1
COL1A1,SDC1
COL1A1,SDC4
COL1A1,TMPRSS6
COL1A2,CD36
COL1A2,CD44
COL1A2,CD93
COL1A2,DDR1
COL1A2,DDR2
COL1A2,FLT4
COL1A2,GP6
COL1A2,ITGA1
COL1A2,ITGA10
COL1A2,ITGA11
COL1A2,ITGA2
COL1A2,ITGA2B
COL1A2,ITGA3
COL1A2,ITGA9
COL1A2,ITGAV
COL1A2,ITGB1
COL1A2,ITGB3
COL1A2,ITGB8
COL1A2,LAIR1
COL1A2,SDC1
COL1A2,SDC4
COL20A1,ITGA1
COL20A1,ITGA10
COL20A1,ITGA11
COL20A1,ITGA2
COL20A1,ITGB1
COL21A1,ITGA1
COL21A1,ITGA10
COL21A1,ITGA11
COL21A1,ITGA2
COL21A1,ITGB1
COL22A1,ITGA1
COL22A1,ITGA10
COL22A1,ITGA11
COL22A1,ITGA2
COL22A1,ITGB1
COL24A1,ITGA1
COL24A1,ITGA10
COL24A1,ITGA11
COL24A1,ITGA2
COL24A1,ITGB1
COL26A1,ITGA1
COL26A1,ITGA10
COL26A1,ITGA11
COL26A1,ITGA2
COL26A1,ITGB1
COL27A1,ITGA1
COL27A1,ITGA10
COL27A1,ITGA11
COL27A1,ITGA2
COL27A1,ITGB1
COL28A1,ITGA1
COL28A1,ITGA10
COL28A1,ITGA11
COL28A1,ITGA2
COL28A1,ITGB1
COL2A1,CD44
COL2A1,CD93
COL2A1,DDR1
COL2A1,DDR2
COL2A1,GP6
COL2A1,ITGA1
COL2A1,ITGA10
COL2A1,ITGA11
COL2A1,ITGA2
COL2A1,ITGA2B
COL2A1,ITGA3
COL2A1,ITGA9
COL2A1,ITGAV
COL2A1,ITGB1
COL2A1,ITGB8
COL2A1,LAIR1
COL2A1,MAG
COL2A1,OR1E1
COL2A1,SDC1
COL2A1,SDC4
COL2A1,TNFRSF10A
COL3A1,CD93
COL3A1,DDR1
COL3A1,DDR2
COL3A1,ITGA1
COL3A1,ITGA10
COL3A1,ITGA11
COL3A1,ITGA2
COL3A1,ITGB1
COL3A1,LAIR1
COL3A1,MAG
COL3A1,SDC1
COL4A1,CD44
COL4A1,CD47
COL4A1,CD93
COL4A1,DDR1
COL4A1,DDR2
COL4A1,GP6
COL4A1,ITGA1
COL4A1,ITGA10
COL4A1,ITGA11
COL4A1,ITGA2
COL4A1,ITGA3
COL4A1,ITGA9
COL4A1,ITGAV
COL4A1,ITGB1
COL4A1,ITGB8
COL4A1,SDC1
COL4A1,SDC4
COL4A2,CD44
COL4A2,CD93
COL4A2,DDR1
COL4A2,DDR2
COL4A2,GP6
COL4A2,ITGA1
COL4A2,ITGA10
COL4A2,ITGA11
COL4A2,ITGA2
COL4A2,ITGA3
COL4A2,ITGA9
COL4A2,ITGAV
COL4A2,ITGB1
COL4A2,ITGB3
COL4A2,ITGB5
COL4A2,ITGB8
COL4A2,SDC1
COL4A2,SDC4
COL4A3,CD44
COL4A3,CD47
COL4A3,CD93
COL4A3,DDR1
COL4A3,DDR2
COL4A3,GP6
COL4A3,ITGA1
COL4A3,ITGA10
COL4A3,ITGA11
COL4A3,ITGA2
COL4A3,ITGA3
COL4A3,ITGA9
COL4A3,ITGAV
COL4A3,ITGB1
COL4A3,ITGB3
COL4A3,ITGB5
COL4A3,ITGB8
COL4A3,SDC1
COL4A3,SDC4
COL4A4,CD44
COL4A4,CD47
COL4A4,CD93
COL4A4,DDR1
COL4A4,DDR2
COL4A4,GP6
COL4A4,ITGA1
COL4A4,ITGA10
COL4A4,ITGA11
COL4A4,ITGA2
COL4A4,ITGA3
COL4A4,ITGA9
COL4A4,ITGAV
COL4A4,ITGB1
COL4A4,ITGB3
COL4A4,ITGB8
COL4A4,SDC1
COL4A4,SDC4
COL4A5,CD44
COL4A5,CD47
COL4A5,CD93
COL4A5,DDR1
COL4A5,DDR2
COL4A5,GP6
COL4A5,ITGA1
COL4A5,ITGA10
COL4A5,ITGA11
COL4A5,ITGA2
COL4A5,ITGA3
COL4A5,ITGA9
COL4A5,ITGAV
COL4A5,ITGB1
COL4A5,ITGB8
COL4A5,SDC1
COL4A5,SDC4
COL4A6,CD44
COL4A6,CD47
COL4A6,CD93
COL4A6,DDR1
COL4A6,DDR2
COL4A6,GP6
COL4A6,ITGA1
COL4A6,ITGA10
COL4A6,ITGA11
COL4A6,ITGA2
COL4A6,ITGA3
COL4A6,ITGA9
COL4A6,ITGAV
COL4A6,ITGB1
COL4A6,ITGB8
COL4A6,SDC1
COL4A6,SDC4
COL5A1,CD93
COL5A1,DDR1
COL5A1,DDR2
COL5A1,ITGA1
COL5A1,ITGA10
COL5A1,ITGA11
COL5A1,ITGA2
COL5A1,ITGB1
COL5A1,LAIR1
COL5A1,SDC1
COL5A1,SDC3
COL5A2,CD93
COL5A2,DDR1
COL5A2,DDR2
COL5A2,ITGA1
COL5A2,ITGA10
COL5A2,ITGA11
COL5A2,ITGA2
COL5A2,ITGB1
COL5A2,LAIR1
COL5A2,SDC1
COL5A3,CD93
COL5A3,DDR1
COL5A3,DDR2
COL5A3,ITGA1
COL5A3,ITGA10
COL5A3,ITGA11
COL5A3,ITGA2
COL5A3,ITGB1
COL5A3,SDC1
COL5A3,SDC3
COL6A1,CD44
COL6A1,GP6
COL6A1,ITGA1
COL6A1,ITGA10
COL6A1,ITGA11
COL6A1,ITGA2
COL6A1,ITGA3
COL6A1,ITGA6
COL6A1,ITGA9
COL6A1,ITGAV
COL6A1,ITGB1
COL6A1,ITGB8
COL6A1,SDC1
COL6A1,SDC4
COL6A2,CD44
COL6A2,GP6
COL6A2,ITGA1
COL6A2,ITGA10
COL6A2,ITGA11
COL6A2,ITGA2
COL6A2,ITGA3
COL6A2,ITGA9
COL6A2,ITGAV
COL6A2,ITGB1
COL6A2,ITGB8
COL6A2,SDC1
COL6A2,SDC4
COL6A3,CD44
COL6A3,GP6
COL6A3,ITGA1
COL6A3,ITGA10
COL6A3,ITGA11
COL6A3,ITGA2
COL6A3,ITGA3
COL6A3,ITGA9
COL6A3,ITGAV
COL6A3,ITGB1
COL6A3,ITGB8
COL6A3,SDC1
COL6A3,SDC4
COL6A5,CD44
COL6A5,GP6
COL6A5,ITGA1
COL6A5,ITGA10
COL6A5,ITGA11
COL6A5,ITGA2
COL6A5,ITGA3
COL6A5,ITGA9
COL6A5,ITGAV
COL6A5,ITGB1
COL6A5,ITGB8
COL6A5,SDC1
COL6A5,SDC4
COL6A6,CD44
COL6A6,GP6
COL6A6,ITGA1
COL6A6,ITGA10
COL6A6,ITGA11
COL6A6,ITGA2
COL6A6,ITGA3
COL6A6,ITGA9
COL6A6,ITGAV
COL6A6,ITGB1
COL6A6,ITGB8
COL6A6,SDC1
COL6A6,SDC4
COL7A1,ITGA1
COL7A1,ITGA10
COL7A1,ITGA11
COL7A1,ITGA2
COL7A1,ITGB1
COL8A1,DDR1
COL8A1,ITGA1
COL8A1,ITGA10
COL8A1,ITGA11
COL8A1,ITGA2
COL8A1,ITGB1
COL8A2,DDR1
COL8A2,ITGA1
COL8A2,ITGA10
COL8A2,ITGA11
COL8A2,ITGA2
COL8A2,ITGB1
COL8A2,SLC4A11
COL9A1,CD44
COL9A1,GP6
COL9A1,ITGA1
COL9A1,ITGA10
COL9A1,ITGA11
COL9A1,ITGA2
COL9A1,ITGA3
COL9A1,ITGA9
COL9A1,ITGAV
COL9A1,ITGB1
COL9A1,ITGB8
COL9A1,MAG
COL9A1,SDC1
COL9A1,SDC4
COL9A2,CD44
COL9A2,GP6
COL9A2,ITGA1
COL9A2,ITGA10
COL9A2,ITGA11
COL9A2,ITGA2
COL9A2,ITGA3
COL9A2,ITGA9
COL9A2,ITGAV
COL9A2,ITGB1
COL9A2,ITGB8
COL9A2,MAG
COL9A2,SDC1
COL9A2,SDC4
COL9A3,CD44
COL9A3,GP6
COL9A3,ITGA1
COL9A3,ITGA10
COL9A3,ITGA11
COL9A3,ITGA2
COL9A3,ITGA3
COL9A3,ITGA9
COL9A3,ITGAV
COL9A3,ITGB1
COL9A3,ITGB8
COL9A3,MAG
COL9A3,SDC1
COL9A3,SDC4
COLI,ACTHR
COLI,MC3R
COLI,MC4R
COLI,MC5R
COLI,MSHR
COLQ,MUSK
COMP,CD36
COMP,CD47
COMP,COL1A1
COMP,COL1A2
COMP,ITGA3
COMP,ITGA5
COMP,ITGA7
COMP,ITGAV
COMP,ITGB1
COMP,ITGB3
COMP,SDC1
COMP,SDC4
COPA,CD74
COPA,MTNR1B
COPA,NTRK1
COPA,P2RY6
COPA,SORT1
CORIN,KIRREL1
CORIN,LRRC4C
CORT,ADRA2A
CORT,GHSR
CORT,GRM7
CORT,MRGPRX2
CORT,MTNR1A
CORT,SSR1
CORT,SSR2
CORT,SSR3
CORT,SSR4
CORT,SSR5
CORT,SSTR1
CORT,SSTR2
CORT,SSTR3
CORT,SSTR4
CORT,SSTR5
CP,SLC40A1
CPAMD8,SCTR
CPNE3,ERBB2
CR2,CD81
CR2,ILDR1
CRF,CRFR1
CRF,CRFR2
CRH,ADCYAP1R1
CRH,ADRB2
CRH,ADRB3
CRH,CRHR1
CRH,CRHR2
CRH,GPR20
CRH,GPR84
CRH,MC2R
CRH,PTH1R
CRH,RAMP2
CRH,RAMP3
CRH,TSHR
CRH,VIPR1
CRISP2,CATSPER1
CRISP3,A1BG
CRKL,EPOR
CRLF1,CNTFR
CRLF1,IL6ST
CRLF1,LIFR
CRLF1,SORL1
CRLF2,CRLF2
CRLF2,IL7R
CRP,CR1
CRP,OLR1
CRTAM,CADM1
CRTAM,ILDR2
CRTAM,MUC15
CSF1,CELSR3
CSF1,CSF1R
CSF1,SIRPA
CSF1,SLC7A1
CSF1_IL34,CSF1R
CSF1R,LY6G6F
CSF1R,PRLR
CSF1R,PRTG
CSF1R,TEK
CSF2,CSF1R
CSF2,CSF2
CSF2,CSF2RA
CSF2,CSF2RB
CSF2,CSF3R
CSF2,IL3RA
CSF2,ITGA9
CSF2,ITGB1
CSF2,SDC2
CSF2RB,ILDR2
CSF3,CSF1R
CSF3,CSF2RA
CSF3,CSF2RB
CSF3,CSF3R
CSF3R,CD244
CSF3R,IGSF21
CSH1,PRLR
CSH2,PRLR
CSHL1,GHR
CSHL1,PRLR
CSPG4,ITGA2
CSPG4,ITGA3
CSPG4,ITGB1
CSTN1,NRX1A
CSTN1,NRX2B
CSTN1,NRX3B
CSTN2,NRX1A
CSTN2,NRX2B
CSTN2,NRX3B
CSTN3,NRX1A
CSTN3,NRX2B
CSTN3,NRX3B
CTF1,IL6ST
CTF1,LIFR
CTHRC1,FZD3
CTHRC1,FZD5
CTHRC1,FZD6
CTHRC1,ROR2
CTLA4,CD80
CTLA4,CD86
CTLA4,FAM200A
CTLA4,PCDHGB4
CTLA4,SIGLEC10
CTLA4,WBP1
CTNNB1,AQP1
CTSG,F2R
CTSG,F2RL1
CTSG,F2RL2
CTSG,F2RL3
CTSG,PARD3
CTTN,ENG
CUBN,LRP2
CX3CL1,CX3CR1
CX3CL1,ITGA4
CX3CL1,ITGAV
CX3CL1,ITGB1
CX3CL1,ITGB3
CXA1,CXA1
CXA1,CXA5
CXA3,CXA1
CXA3,CXA3
CXA3,CXA5
CXA3,CXG1
CXA5,CXA5
CXCL1,ACKR1
CXCL1,ADRA2A
CXCL1,CXCR1
CXCL1,CXCR2
CXCL1,GRM7
CXCL1,MTNR1A
CXCL10,ACKR1
CXCL10,ADRA2A
CXCL10,CCR3
CXCL10,CXCR3
CXCL10,DPP4
CXCL10,GRM7
CXCL10,MTNR1A
CXCL10,SDC4
CXCL10,TLR4
CXCL11,ACKR1
CXCL11,ACKR3
CXCL11,ADRA2A
CXCL11,CCR3
CXCL11,CCR5
CXCL11,CXCR3
CXCL11,DPP4
CXCL11,GRM7
CXCL11,MTNR1A
CXCL12,ACKR3
CXCL12,ADRA2A
CXCL12,AVPR1A
CXCL12,CCR4
CXCL12,CD4
CXCL12,CXCR3
CXCL12,CXCR4
CXCL12,DPP4
CXCL12,GRM7
CXCL12,ITGA4
CXCL12,ITGA5
CXCL12,ITGAV
CXCL12,ITGB1
CXCL12,ITGB3
CXCL12,MTNR1A
CXCL12,SDC4
CXCL13,ACKR1
CXCL13,ACKR4
CXCL13,ADRA2A
CXCL13,CCR10
CXCL13,CXCR3
CXCL13,CXCR5
CXCL13,GRM7
CXCL13,HTR2A
CXCL13,MTNR1A
CXCL13,OPRD1
CXCL14,CXCR4
CXCL16,ADRA2A
CXCL16,CXCR6
CXCL16,GRM7
CXCL16,MTNR1A
CXCL17,GPR35
CXCL2,ACKR1
CXCL2,ADRA2A
CXCL2,CXCR1
CXCL2,CXCR2
CXCL2,DPP4
CXCL2,GRM7
CXCL2,MTNR1A
CXCL2,XCR1
CXCL3,ACKR1
CXCL3,ADRA2A
CXCL3,CXCR1
CXCL3,CXCR2
CXCL3,GRM7
CXCL3,MTNR1A
CXCL5,ACKR1
CXCL5,ADRA2A
CXCL5,CXCR1
CXCL5,CXCR2
CXCL5,GRM7
CXCL5,MTNR1A
CXCL6,ACKR1
CXCL6,ADRA2A
CXCL6,CXCR1
CXCL6,CXCR2
CXCL6,GRM7
CXCL6,MTNR1A
CXCL7,CXCR1
CXCL7,CXCR2
CXCL8,ACKR1
CXCL8,ADRA2A
CXCL8,CD79A
CXCL8,CXCR1
CXCL8,CXCR2
CXCL8,GRM7
CXCL8,KDR
CXCL8,MTNR1A
CXCL8,SDC1
CXCL8,SDC2
CXCL8,SDC3
CXCL9,ACKR1
CXCL9,ADRA2A
CXCL9,CCR3
CXCL9,CXCR3
CXCL9,DPP4
CXCL9,FCGR2A
CXCL9,GRM7
CXCL9,KIR2DL3
CXCL9,MTNR1A
CXCR4,CCR5
CXCR4,CCR7
CXCR4,DPP4
CXG1,CXA1
CXG1,CXA5
CXG1,CXG1
CXL10,CXCR3
CXL10,DPP4
CXL11,ACKR3
CXL11,CXCR3
CXL11,DPP4
CXL13,ACKR4
CXL13,CXCR5
CXL14,CXCR4
CXL16,CXCR6
CYP11A1,PAQR3
CYTL1,CCR2
DAF,CD97
DAG1,CELR3
DAG1,EFNB1
DAG1,NRX3B
DAG1,SARAF
DBH,ADRA1A
DBH,ADRA1B
DBH,ADRA1D
DBH,ADRA2A
DBH,ADRA2B
DBH,ADRA2C
DBH,ADRB1
DBH,ADRB2
DBH,ADRB3
DBH,GPR161
DBP,ACKR1
DCC,ADORA2B
DCC,VSIG4
DCLK3,RAMP1
DCLK3,RAMP2
DCLK3,RAMP3
DCN,EGFR
DCN,ERBB4
DCN,IGF1R
DCN,KDR
DCN,LRP1
DCN,MET
DCN,TLR2
DCN,TLR4
DDR1,LY6G6F
DDR1,TTR
DDR2,DDR1
DEFB1,CCR6
DEFB103A,CCR2
DEFB103A,CCR6
DEFB103B,CCR2
DEFB103B,CCR6
DEFB106A,CCR2
DEFB106B,CCR2
DEFB4A,CCR6
DEFB4A,TLR4
DEFB4B,CCR6
DEFB4B,TLR4
DHH,BOC
DHH,CDON
DHH,HHIP
DHH,PTCH1
DHH,PTCH2
DHH,SMO
DKK1,KREMEN1
DKK1,KREMEN2
DKK1,LRP4
DKK1,LRP5
DKK1,LRP6
DKK1,WNT3A
DKK2,KREMEN1
DKK2,KREMEN2
DKK2,LRP5
DKK2,LRP6
DKK3,KREMEN1
DKK4,KREMEN1
DKK4,KREMEN2
DKK4,LRP5
DKK4,LRP6
DLK1,NOTC1
DLK1,NOTC2
DLK1,NOTC3
DLK1,NOTC4
DLK1,NOTCH1
DLK1,NOTCH2
DLK1,NOTCH3
DLK1,NOTCH4
DLK2,NOTCH1
DLL1,NOTC1
DLL1,NOTC2
DLL1,NOTC3
DLL1,NOTC4
DLL1,NOTCH1
DLL1,NOTCH2
DLL1,NOTCH3
DLL1,NOTCH4
DLL3,NOTC1
DLL3,NOTC2
DLL3,NOTC3
DLL3,NOTC4
DLL3,NOTCH1
DLL3,NOTCH2
DLL3,NOTCH3
DLL3,NOTCH4
DLL4,NOTC1
DLL4,NOTC2
DLL4,NOTC3
DLL4,NOTC4
DLL4,NOTCH1
DLL4,NOTCH2
DLL4,NOTCH3
DLL4,NOTCH4
DMP1,ITGAV
DMP1,ITGB3
DMP1,PHEX
DNAJA3,ERBB2
DNAJB11,PRTG
DRAXIN,DCC
DRD2,CALM1
DRD2,CALM2
DRD2,CALM3
DRD2,CCKBR
DSC1,DSG1
DSC1,DSG2
DSC1,DSG3
DSC1,DSG4
DSC2,DSG1
DSC2,DSG2
DSC2,DSG3
DSC2,DSG4
DSC3,CRTAM
DSC3,DSG1
DSC3,DSG2
DSC3,DSG3
DSC3,DSG4
DSCAM,DCC
DSCAM,NOTCH3
DSCAM,PTPRK
DSCAM,PTPRM
DSCAM,PTPRT
DSCAML1,PTPRK
DSCAML1,PTPRM
DSCAML1,PTPRT
DSG1,DSC1
DSG1,DSC2
DSG1,DSC3
DSG1,FLT4
DSG2,DSC3
DSPP,ITGAV
DSPP,ITGB1
DSPP,ITGB6
DUSP18,CD151
DUSP18,ITGA1
DUSP18,ITGA2
DUSP18,ITGA3
DUSP18,ITGA6
DUSP18,ITGA7
DUSP18,ITGB1
DUSP18,ITGB4
DUSP18,ITGB8
DUSP18,RPSA
DYM,ERBB2
EBI3,IL27RA
EBI3,IL6ST
EBI3_IL12A,IL12RB2
EBI3_IL12A,IL6ST
EBI3_IL27,IL27RA
EBI3_IL27,IL6ST
ECM1,CACHD1
ECM1,ITGB4
EDA,EDA2R
EDA,EDAR
EDA,IL1RL1
EDA2R,KIR3DL3
EDIL3,ITGA5
EDIL3,ITGAV
EDIL3,ITGB1
EDIL3,ITGB3
EDIL3,ITGB5
EDN1,ADGRL4
EDN1,EDNRA
EDN1,EDNRB
EDN1,KEL
EDN2,EDNRA
EDN2,EDNRB
EDN2,KEL
EDN3,EDNRA
EDN3,EDNRB
EDN3,KEL
EDNRA,GNA11
EDNRB,GNA11
EFEMP1,EGFR
EFEMP2,AQP1
EFEMP2,CATSPER1
EFEMP2,LINGO1
EFEMP2,PLSCR4
EFNA1,EPHA1
EFNA1,EPHA10
EFNA1,EPHA2
EFNA1,EPHA3
EFNA1,EPHA4
EFNA1,EPHA5
EFNA1,EPHA6
EFNA1,EPHA7
EFNA1,EPHA8
EFNA1,EPHB1
EFNA1,EPHB6
EFNA2,CLDN4
EFNA2,EPHA1
EFNA2,EPHA10
EFNA2,EPHA2
EFNA2,EPHA3
EFNA2,EPHA4
EFNA2,EPHA5
EFNA2,EPHA6
EFNA2,EPHA7
EFNA2,EPHA8
EFNA3,EPHA1
EFNA3,EPHA10
EFNA3,EPHA2
EFNA3,EPHA3
EFNA3,EPHA4
EFNA3,EPHA5
EFNA3,EPHA6
EFNA3,EPHA7
EFNA3,EPHA8
EFNA3,EPHB1
EFNA3,EPHB6
EFNA4,EPHA1
EFNA4,EPHA10
EFNA4,EPHA2
EFNA4,EPHA3
EFNA4,EPHA4
EFNA4,EPHA5
EFNA4,EPHA6
EFNA4,EPHA7
EFNA4,EPHA8
EFNA4,PDGFRB
EFNA5,EPHA1
EFNA5,EPHA10
EFNA5,EPHA2
EFNA5,EPHA3
EFNA5,EPHA4
EFNA5,EPHA5
EFNA5,EPHA6
EFNA5,EPHA7
EFNA5,EPHA8
EFNA5,EPHB1
EFNA5,EPHB2
EFNA5,EPHB6
EFNB1,CLDN1
EFNB1,DSG4
EFNB1,EPHA2
EFNB1,EPHA3
EFNB1,EPHA4
EFNB1,EPHA6
EFNB1,EPHB1
EFNB1,EPHB2
EFNB1,EPHB3
EFNB1,EPHB4
EFNB1,EPHB6
EFNB1,ERBB2
EFNB1,EVC2
EFNB1,FAM187B
EFNB1,ITLN1
EFNB1,LVRN
EFNB1,NAALAD2
EFNB1,SLAMF9
EFNB1,TRHDE
EFNB2,EPHA10
EFNB2,EPHA3
EFNB2,EPHA4
EFNB2,EPHA6
EFNB2,EPHA8
EFNB2,EPHB1
EFNB2,EPHB2
EFNB2,EPHB3
EFNB2,EPHB4
EFNB2,EPHB6
EFNB2,FCRL1
EFNB2,GRM1
EFNB2,GRM5
EFNB2,HIDE1
EFNB2,KIR2DS3
EFNB2,PECAM1
EFNB2,RHBDL2
EFNB2,TCTN2
EFNB3,EPHA10
EFNB3,EPHA3
EFNB3,EPHA4
EFNB3,EPHB1
EFNB3,EPHB2
EFNB3,EPHB3
EFNB3,EPHB4
EFNB3,EPHB6
EFNB3,HIDE1
EFNB3,RHBDL2
EGF,ADRB2
EGF,AXL
EGF,CAV1
EGF,EGFR
EGF,ERBB2
EGF,ERBB3
EGF,ERBB4
EGF,FSHR
EGF,LDLR
EGF,LRP2
EGF,NRP1
EGF,PLD2
EGF,RHBDL2
EGF,TNFRSF11B
EGFL8,NCR3
EGFR,ADAM17
EGFR,ADRB2
EGFR,ERBB2
EGFR,FGFR1
ELA,APJ
ENAM,CD63
ENG,CDH5
ENG,ITGAV
ENHO,GPR19
ENPP1,INSR
ENTP1,AA1R
ENTP1,AA2AR
ENTP1,AA2BR
