lncRNA,target
DIO2-AS1,AGO4
DIO2-AS1,CELF4
DIO2-AS1,ELAVL3
DIO2-AS1,MBNL2
DIO2-AS1,ELAVL2
DIO2-AS1,EWSR1
DIO2-AS1,HDAC9
DIO2-AS1,SFPQ
DIO2-AS1,SMARCA4
DISC1FP1,AGO2
DISC1FP1,AGO3
DISC1FP1,AGO4
DISC1FP1,FTO
DISC1FP1,MBNL2
DISC1FP1,SPPL3
DISC1FP1,EWSR1
DISC1FP1,HDAC9
DISC1FP1,RBFOX2
DISC1FP1,RBMX
DISC1FP1,SFPQ
DISC1FP1,SMARCA4
DISC1FP1,SRSF2
DISC1FP1,SSB
DISC1FP1,YTHDC1
DLEU1,KPNA3
DLEU1,RANBP2
DLEU1,BCL2
DLEU1,IGF1R
DLEU1,DDX5
DLEU1,MEF2D
DLEU1,MTOR
DLEU2,TRIM13
DLEU2,ZEB2
DLEU2,SMAD2
DLGAP1-AS3,SFPQ
DLGAP1-AS4,CELF4
DLGAP1-AS4,DDX3X
DLGAP1-AS4,ELAVL3
DLGAP1-AS4,MBNL2
DLGAP1-AS4,SPPL3
DLGAP1-AS4,ELAVL2
DLGAP1-AS4,EWSR1
DLGAP1-AS4,RBMX
DLGAP1-AS4,SFPQ
DLGAP1-AS4,SMARCA4
DLGAP1-AS5,CELF4
DLGAP1-AS5,ELAVL3
DLGAP1-AS5,SPPL3
DLGAP1-AS5,ELAVL2
DLGAP1-AS5,RBMX
DLGAP1-AS5,SFPQ
DLGAP1-AS5,SSB
DLX6-AS1,ERP44
DLX6-AS1,ARPP19
DLX6-AS1,CADM1
DLX6-AS1,DDX3X
DLX6-AS1,NECTIN1
DLX6-AS1,SPPL3
DLX6-AS1,PTEN
DLX6-AS1,POU2F1
DLX6-AS1,PIK3CA
DLX6-AS1,MTOR
DLX6-AS1,EWSR1
DLX6-AS1,SFPQ
DLX6-AS1,SSB
DNAJC27-AS1,CELF4
DNAJC27-AS1,ELAVL3
DNAJC27-AS1,FTO
DNAJC27-AS1,LARP4B
DNAJC27-AS1,MBNL2
DNAJC27-AS1,SPPL3
DNAJC27-AS1,ELAVL2
DNAJC27-AS1,SFPQ
DNAJC27-AS1,SSB
DNAJC3-DT,DNAJC3
DPP10-AS1,TIMP3
DPYD-AS1,ACIN1
DPYD-AS1,CELF4
DPYD-AS1,DDX3X
DPYD-AS1,ELAVL3
DPYD-AS1,MBNL2
DPYD-AS1,ELAVL2
DPYD-AS1,EWSR1
DPYD-AS1,SFPQ
DRAIC,NFIB
DRAIC,NFKB1
EIF3J-DT,CTNND2
ELDR,ILF3
ELDR,EGFR
EMX2OS,CELF4
EMX2OS,ELAVL3
EMX2OS,FTO
EMX2OS,QKI
EMX2OS,TCF12
EMX2OS,AKT3
EMX2OS,ELAVL2
EMX2OS,SFPQ
ENTPD1-AS1,AGO2
ENTPD1-AS1,AGO3
ENTPD1-AS1,AGO4
ENTPD1-AS1,CELF4
ENTPD1-AS1,ELAVL3
ENTPD1-AS1,FTO
ENTPD1-AS1,LARP4B
ENTPD1-AS1,MBNL2
ENTPD1-AS1,QKI
ENTPD1-AS1,SPPL3
ENTPD1-AS1,ELAVL2
ENTPD1-AS1,EWSR1
ENTPD1-AS1,HDAC9
ENTPD1-AS1,RBFOX2
ENTPD1-AS1,RBMX
ENTPD1-AS1,SFPQ
ENTPD1-AS1,SMARCA4
ENTPD3-AS1,AGO2
ENTPD3-AS1,AGO3
ENTPD3-AS1,AGO4
ENTPD3-AS1,CELF4
ENTPD3-AS1,DDX3X
ENTPD3-AS1,ELAVL3
ENTPD3-AS1,SPPL3
ENTPD3-AS1,ELAVL2
ENTPD3-AS1,EWSR1
ENTPD3-AS1,HDAC9
ENTPD3-AS1,SFPQ
ENTPD3-AS1,SMARCA4
EPB41L4A-AS1,FTO
EPB41L4A-AS1,LARP4B
EPB41L4A-AS1,RC3H1
EPB41L4A-AS1,SPPL3
EPB41L4A-AS1,HDAC2
EPB41L4A-AS1,NPM1
EPB41L4A-AS1,EWSR1
EPB41L4A-AS1,RBFOX2
EPB41L4A-AS1,RBM39
EPB41L4A-AS1,SFPQ
EPB41L4A-AS1,YTHDC1
EPN2-AS1,MBNL2
EPN2-AS1,SPPL3
EPN2-AS1,SFPQ
F11-AS1,PTEN
FAM13A-AS1,MBNL2
FAM13A-AS1,QKI
FAM13A-AS1,SFPQ
FAM13A-AS1,SSB
FAM157C,MBNL1
FAM157C,SPPL3
FAM157C,EWSR1
FAM222A-AS1,AGO2
FAM222A-AS1,AGO3
FAM222A-AS1,AGO4
FAM222A-AS1,QKI
FAM222A-AS1,SPPL3
FAM222A-AS1,SFPQ
FAM222A-AS1,SMARCA4
FAM222A-AS1,YTHDC1
FAM66B,FTO
FAM66B,MBNL2
FAM66B,QKI
FAM66B,EWSR1
FAM66B,SFPQ
FAM66C,KCND2
FAM66C,FTO
FAM66C,RBMX
FAM66C,SFPQ
FAM85B,EWSR1
FAM85B,SFPQ
FGD5-AS1,ACIN1
FGD5-AS1,AGO2
FGD5-AS1,AGO3
FGD5-AS1,AGO4
FGD5-AS1,CELF4
FGD5-AS1,ELAVL1
FGD5-AS1,ELAVL3
FGD5-AS1,FTO
FGD5-AS1,LARP4B
FGD5-AS1,MBNL2
FGD5-AS1,RC3H1
FGD5-AS1,SPPL3
FGD5-AS1,HNRNPK
FGD5-AS1,ELAVL2
FGD5-AS1,EWSR1
FGD5-AS1,HDAC9
FGD5-AS1,RBFOX2
FGD5-AS1,RBMX
FGD5-AS1,SFPQ
FGD5-AS1,SMARCA4
FGD5-AS1,YTHDC1
FGF12-AS1,SPPL3
FLG-AS1,CELF4
FLG-AS1,ELAVL1
FLG-AS1,ELAVL3
FLG-AS1,LARP4B
FLG-AS1,MBNL1
FLG-AS1,MBNL2
FLG-AS1,QKI
FLG-AS1,SPPL3
FLG-AS1,ELAVL2
FLG-AS1,EWSR1
FLG-AS1,RBMX
FLG-AS1,SFPQ
FLG-AS1,SMARCA4
FRMD6-AS2,FRMD6
FRMD6-AS2,AGO2
FRMD6-AS2,AGO3
FRMD6-AS2,AGO4
FRMD6-AS2,FTO
FRMD6-AS2,QKI
FRMD6-AS2,EWSR1
FRMD6-AS2,HDAC9
FRMD6-AS2,RBMX
FRMD6-AS2,SFPQ
FRMD6-AS2,SMARCA4
FTX,MTDH
FTX,AGO2
FTX,AGO3
FTX,AGO4
FTX,CELF4
FTX,ELAVL1
FTX,ELAVL3
FTX,FTO
FTX,LARP4B
FTX,MBNL1
FTX,MBNL2
FTX,QKI
FTX,RNMT
FTX,SPPL3
FTX,FMR1
FTX,ELAVL2
FTX,EWSR1
FTX,RBFOX2
FTX,RBMX
FTX,SFPQ
FTX,SMARCA4
FTX,SSB
FTX,YTHDC1
GABPB1-AS1,ELAVL1
GABPB1-AS1,FTO
GABPB1-AS1,SPPL3
GABPB1-AS1,EWSR1
GABPB1-AS1,RBM39
GABPB1-AS1,SFPQ
GABPB1-AS1,SRSF2
GABPB1-AS1,YTHDC1
GAS5,TIMP2
GAS5,CDK6
GAS5,IGF1R
GAS5,RECK
GAS5,BCL2
GAS5,HMGB1
GAS5,TIMP3
GAS5,DDX3X
GAS5,EIF4E
GAS5,LARP4B
GAS5,MBNL1
GAS5,MBNL2
GAS5,RC3H1
GAS5,SEMA3A
GAS5,SPPL3
GAS5,STAT3
GAS5,PTEN
GAS5,FOXO3
GAS5,FOXO1
GAS5,MTOR
GAS5,EGFR
GAS5,ZBTB7A
GAS5,HIPK2
GAS5,HDAC4
GAS5,PIK3CA
GAS5,EWSR1
GAS5,NR3C1
GAS5,RBFOX2
GAS5,RBM39
GAS5,RBMX
GAS5,SFPQ
GAS5,SRSF2
GAS5,SSB
GAS5,YTHDC1
GMDS-DT,CYLD
GNG12-AS1,ACIN1
GNG12-AS1,AGO2
GNG12-AS1,AGO3
GNG12-AS1,AGO4
GNG12-AS1,FTO
GNG12-AS1,LARP4B
GNG12-AS1,MBNL1
GNG12-AS1,MBNL2
GNG12-AS1,QKI
GNG12-AS1,RC3H1
GNG12-AS1,SPPL3
GNG12-AS1,EWSR1
GNG12-AS1,HDAC9
GNG12-AS1,RBFOX2
GNG12-AS1,RBMX
GNG12-AS1,SFPQ
GNG12-AS1,SMARCA4
GNG12-AS1,SSB
GRM7-AS3,AGO2
GRM7-AS3,AGO3
GRM7-AS3,AGO4
GRM7-AS3,LARP4B
GRM7-AS3,SPPL3
GRM7-AS3,EWSR1
GRM7-AS3,SFPQ
GRM7-AS3,SRSF2
HCG17,FTO
HCG17,MBNL1
HCG17,MBNL2
HCG17,QKI
HCG17,SPPL3
HCG17,RBFOX2
HCG17,SFPQ
HHIP-AS1,HHIP
HHIP-AS1,AGO2
HHIP-AS1,AGO3
HHIP-AS1,AGO4
HHIP-AS1,LARP4B
HHIP-AS1,SFPQ
HNF1A-AS1,BCL2
HNF1A-AS1,ATG5
HNF1A-AS1,MAP2K4
HNF1A-AS1,CDK6
HNF1A-AS1,QKI
HNF1A-AS1,CTNNB1
HNF1A-AS1,SFPQ
HNF1A-AS1,SSB
HNF1A-AS1,STAT3
HPN-AS1,DDX3X
HPN-AS1,EWSR1
HPN-AS1,RBFOX2
HPN-AS1,RBMX
HPN-AS1,SFPQ
HPN-AS1,SMARCA4
HPN-AS1,SRSF2
IDI2-AS1,AGO2
IDI2-AS1,AGO3
IDI2-AS1,AGO4
IDI2-AS1,CELF4
IDI2-AS1,ELAVL3
IDI2-AS1,FTO
IDI2-AS1,LARP4B
IDI2-AS1,RC3H1
IDI2-AS1,SPPL3
IDI2-AS1,ELAVL2
IDI2-AS1,EWSR1
IDI2-AS1,RBMX
IDI2-AS1,SFPQ
IFNG-AS1,AGO2
IFNG-AS1,AGO3
IFNG-AS1,AGO4
IFNG-AS1,CELF4
IFNG-AS1,DDX3X
IFNG-AS1,ELAVL3
IFNG-AS1,ELAVL2
IFNG-AS1,EWSR1
IFNG-AS1,HDAC9
IFNG-AS1,RBMX
IFNG-AS1,SFPQ
IFNG-AS1,SMARCA4
IFNG-AS1,SSB
ILF3-DT,CAMK1D
ILF3-DT,PTBP3
ILF3-DT,SMAD2
ILF3-DT,PTEN
ILF3-DT,ILF3
ILF3-DT,SOX5
INHBA-AS1,ELAVL1
INHBA-AS1,MBNL2
INHBA-AS1,EWSR1
INHBA-AS1,SFPQ
INTS6-AS1,QKI
INTS6-AS1,SPPL3
INTS6-AS1,HDAC9
INTS6-AS1,RBFOX2
INTS6-AS1,SFPQ
INTS6-AS1,SMARCA4
INTS6-AS1,YTHDC1
IPO9-AS1,AGO2
IPO9-AS1,AGO3
IPO9-AS1,AGO4
IPO9-AS1,FTO
IPO9-AS1,MBNL1
IPO9-AS1,MBNL2
IPO9-AS1,QKI
IPO9-AS1,RC3H1
IPO9-AS1,SPPL3
IPO9-AS1,EWSR1
IPO9-AS1,RBFOX2
IPO9-AS1,SFPQ
IPO9-AS1,SMARCA4
IQCH-AS1,FTO
IQCH-AS1,LARP4B
IQCH-AS1,EWSR1
IQCH-AS1,HDAC9
IQCH-AS1,RBMX
IQCH-AS1,SFPQ
IQCH-AS1,SMARCA4
JAZF1-AS1,MBNL2
JAZF1-AS1,HDAC9
JAZF1-AS1,SFPQ
JAZF1-AS1,YTHDC1
JPX,CELF4
JPX,ELAVL3
JPX,FTO
JPX,LARP4B
JPX,MBNL1
JPX,MBNL2
JPX,QKI
JPX,SPPL3
JPX,PIK3CA
JPX,MTOR
JPX,ELAVL2
JPX,EWSR1
JPX,RBFOX2
JPX,RBMX
JPX,SFPQ
KCNIP2-AS1,RBFOX2
KCNIP2-AS1,SFPQ
KCNMA1-AS1,BCL2L1
KCNQ1OT1,SORBS2
KCNQ1OT1,ITGAV
KCNQ1OT1,GAB1
KCNQ1OT1,HSP90AA1
KCNQ1OT1,TSPAN3
KCNQ1OT1,RAB14
KCNQ1OT1,CCND2
KCNQ1OT1,ELAVL1
KCNQ1OT1,FTO
KCNQ1OT1,QKI
KCNQ1OT1,FOXO3
KCNQ1OT1,EGFR
KCNQ1OT1,TRPS1
KCNQ1OT1,CBX3
KCNQ1OT1,CTNNB1
KCNQ1OT1,SOX6
KCNQ1OT1,EHMT2
KCNQ1OT1,RBFOX2
KCNQ1OT1,SFPQ
KIF9-AS1,FTO
KIF9-AS1,QKI
KIF9-AS1,EWSR1
KIF9-AS1,RBFOX2
KIF9-AS1,RBMX
KIF9-AS1,SFPQ
KLF3-AS1,GIT1
KRTAP5-AS1,MBNL2
KRTAP5-AS1,EWSR1
KRTAP5-AS1,SFPQ
KRTAP5-AS1,SMARCA4
KRTAP5-AS1,SSB
KTN1-AS1,PDPK1
KTN1-AS1,ERBIN
KTN1-AS1,AGO2
KTN1-AS1,AGO3
KTN1-AS1,AGO4
KTN1-AS1,CELF4
KTN1-AS1,DDX3X
KTN1-AS1,ELAVL3
KTN1-AS1,SPPL3
KTN1-AS1,ELAVL2
KTN1-AS1,EWSR1
KTN1-AS1,SFPQ
LARGE-AS1,AGO2
LARGE-AS1,AGO3
LARGE-AS1,AGO4
LARGE-AS1,FTO
LARGE-AS1,MBNL2
LARGE-AS1,SPPL3
LARGE-AS1,RBFOX2
LENG8-AS1,FTO
LENG8-AS1,MBNL2
LENG8-AS1,SPPL3
LENG8-AS1,EWSR1
LENG8-AS1,SFPQ
LENG8-AS1,SRSF2
LERFS,CDC42
LERFS,RAC1
LIFR-AS1,AGO2
LIFR-AS1,AGO3
LIFR-AS1,AGO4
LIFR-AS1,DDX3X
LIFR-AS1,NFIA
LIFR-AS1,EWSR1
LIFR-AS1,SFPQ
LINC00106,RBMX
LINC00106,SFPQ
LINC00158,ELAVL1
